IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Dispositivo Local,Sitio/App Destino,Hostname Remoto,SSID
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,18.211.220.239,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,63728,443,TCP,55,2026-03-04 21:13:06,DESKTOP-G6APLIR,,ec2-18-211-220-239.compute-1.amazonaws.com,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,153,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,737,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
18.211.220.239,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,63728,TCP,66,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:06,DESKTOP-G6APLIR,,mdns.mcast.net,N/A
10.20.53.78,224.0.0.252,d4:d8:53:5d:25:cd,01:00:5e:00:00:fc,63753,5355,UDP,84,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.251,d4:d8:53:5d:25:cd,01:00:5e:00:00:fb,5353,5353,UDP,84,2026-03-04 21:13:06,DESKTOP-G6APLIR,,mdns.mcast.net,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,1454,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
